time_s,command_frequency_Hz,command_electrical_angle_rad,mechanical_angle_raw_rad,rotor_angle_unwrapped_rad,phase_error_rad,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V
0.114,18.316666509999997,6.885638012117801,0.17507418695443316,6.458259494134019,0.4273785179837821,20.20761013927719,-8.724118544255925,-11.483491595021265,8.019296475996256,-24.977269560126064,24.841686140184873,62.2998086650616,1.5198470968774958,1.0,-1.0,0.0,48.0,-48.0,0.0
0.1145,18.3874998425,6.943292781802377,0.20632969269519466,6.489514999874781,0.4537777819275961,20.58512889333236,-8.83238761870807,-11.752741274624292,9.699727547222926,-25.14712440914781,25.08228992421393,62.74323831890285,2.024020937003458,1.0,-1.0,0.0,48.0,-48.0,0.0
0.115,18.458333175,7.0011700809639645,0.23783784973156322,6.521023156911149,0.4801469240528151,20.745990628682495,-8.797703376781948,-11.948287251900547,11.481944416594546,-25.36133902489505,25.393436603123334,63.30900657361666,2.494396657671169,1.0,-1.0,0.0,48.0,-48.0,0.0
0.1155,18.5291665075,7.059269909602562,0.26965718957674645,6.552842496756333,0.5064274128462287,20.694628573367822,-8.615367638999023,-12.0792609343688,13.35599134700472,-25.617647331842637,25.76220896191643,63.985502639886995,2.9055688866747564,1.0,-1.0,0.0,48.0,-48.0,0.0
0.116,18.599999840000002,7.117592267718172,0.301838845283534,6.58502415246312,0.5325681152550521,20.4361794790125,-8.283276816062797,-12.152902662949705,15.300429440240837,-25.91109524688783,26.166629038880963,64.75475239794848,3.2323589112150977,1.0,-1.0,0.0,48.0,-48.0,0.0
0.1165,18.6708331725,7.176137155310794,0.33442342791699725,6.617608735096583,0.5585284202142109,19.97739532772228,-7.803286166027678,-12.174109161694602,17.281755912473717,-26.233871842021475,26.57465375345478,65.59274593679497,3.4520912348489334,1.0,-1.0,0.0,48.0,-48.0,0.0
0.117,18.741666504999998,7.234904572380425,0.36743822150323463,6.650623528682821,0.5842810436976044,19.327460645355266,-7.1825200004282586,-12.144940644927008,19.25506636305568,-26.575465071716618,26.944028338226826,66.47040590351502,3.5473940416916365,1.0,-1.0,0.0,48.0,-48.0,0.0
0.1175,18.8124998375,7.2938945189270665,0.40089504221864586,6.684080349398232,0.6098141695288346,18.498592903347618,-6.434441033022277,-12.06415187032534,21.166458518672897,-26.92322428066586,27.223500000024387,67.35528091605445,3.509111041312119,1.0,-1.0,0.0,48.0,-48.0,0.0
0.118,18.88333317,7.353106994950722,0.4347812237924999,6.717966530972086,0.6351404639786358,17.506909325302555,-2.3835114611471635,-15.123397864155391,22.915605571216485,-27.214093344002283,27.306440622327983,68.09065274645863,0.7795543783680765,1.0,0.0,-1.0,0.0,48.0,-48.0
0.1185,18.954166502499998,7.412542000451389,0.46877184131723176,6.751957148496818,0.660584851954571,18.419536423101604,2.404743715740794,-20.824280138842397,24.107780280810317,-27.075294299228158,26.785650720967848,67.74606951235819,-2.639959815489817,1.0,0.0,-1.0,48.0,0.0,-48.0
0.119,19.024999834999996,7.472199535429065,0.5024373729730466,6.785622680152633,0.6865768552764324,19.835825405426462,5.4611197303517836,-25.296945135778245,24.842616890028058,-26.710786097803247,25.85831258942064,66.83448619904804,-4.596927755093271,1.0,0.0,-1.0,48.0,0.0,-48.0
0.1195,19.095833167499997,7.5320795998837555,0.5355319924310884,6.818717299610674,0.7133623002730811,21.063458074216307,8.230104823373848,-29.293562897590153,25.14519390763201,-26.168343202844042,24.584327173224874,65.47722035832088,-6.1988887447357905,1.0,0.0,-1.0,48.0,0.0,-48.0
0.12,19.166666499999998,7.592182193815454,0.5678557937280794,6.851041100907666,0.741141092907788,22.152714484615636,10.671495939781204,-32.82421042439684,25.063554067461485,-25.48506520497261,23.032099466969044,63.76735980012623,-7.413643806720968,1.0,0.0,-1.0,48.0,0.0,-48.0
0.1205,19.2374998325,7.652507317224166,0.5992570843587958,6.882442391538382,0.7700649256857837,23.145762405464538,12.759990494575526,-35.90575290004006,24.670053441328843,-24.700913396474828,21.285428256256214,61.80392759430495,-8.226751467017767,1.0,0.0,-1.0,48.0,0.0,-48.0
0.121,19.308333165,7.713054970109889,0.6296341615413954,6.912819468720982,0.8002355013889071,24.07564302940304,14.485971148014684,-38.561614177417724,24.048402168427213,-23.856453409677634,19.4325208684347,59.68700095716115,-8.64430300905017,1.0,0.0,-1.0,48.0,0.0,-48.0
0.1215,19.379166497499998,7.773825152472623,0.6589345671706419,6.942119874350228,0.8317052781223957,24.966240199385858,15.854645901139058,-40.820886100524916,23.28221886725613,-22.990544127514283,17.555462272073733,57.51268627448506,-8.691421420769323,1.0,0.0,-1.0,48.0,0.0,-48.0
0.122,19.449999829999996,7.834817864312367,0.6871519952788001,6.970337302458386,0.8644805618539806,25.832962443697795,16.8839217609407,-42.7168842046385,22.446950611948765,-22.13846824051775,15.72248287555792,55.36887933226457,-8.407762981023659,1.0,0.0,-1.0,48.0,0.0,-48.0
0.1225,19.520833162499997,7.896033105629124,0.714321395401617,6.997506702581203,0.8985264030479208,26.683833956956562,17.601562744095567,-44.28539670105213,21.60554667187202,-21.330738379892296,13.983974401251004,53.332339414952834,-7.841796711613117,1.0,0.0,-1.0,48.0,0.0,-48.0
0.123,19.591666495,7.957470876422892,0.7405129709499718,7.023698278129558,0.9337725982933343,27.52074111641155,18.042164338432343,-45.56290545484389,20.807247334607187,-20.592572896255945,12.37194973551297,51.46718256130048,-7.045376784787124,1.0,0.0,-1.0,48.0,0.0,-48.0
0.1235,19.6624998275,8.019131176693671,0.7658257417647312,7.049011048944317,0.9701201277493539,28.340664289845968,18.244340040689885,-46.58500433053585,20.088427925310416,-19.943893949137465,10.901932323500318,49.824595241651906,-6.069499491893451,1.0,0.0,-1.0,48.0,0.0,-48.0
0.124,19.73333316,8.08101400644146,0.7903811984950118,7.073566505674598,1.0074475007668626,29.136802736627065,18.248345004669456,-47.38514774129652,19.474482596545414,-19.399659597939003,9.576111275430767,48.44342691037945,-4.961518753017905,1.0,0.0,-1.0,48.0,0.0,-48.0
0.1245,19.8041664925,8.143119365666262,0.8143173984858668,7.097502705665453,1.0456166600008094,29.89955635410669,18.094215082856106,-47.993771436962795,18.98200334478054,-18.97036495507501,8.386809143089973,47.351308595865504,-3.7636760495093604,1.0,0.0,-1.0,48.0,0.0,-48.0
0.125,19.874999825,8.205447254368076,0.8377836905170253,7.120968997696611,1.0844782566714652,30.61736060302656,17.820400601496964,-48.437761204523525,18.620815412532544,-18.66259621425941,7.319649985885957,46.56600892087881,-2.512609120313882,1.0,0.0,-1.0,48.0,0.0,-48.0
0.1255,19.945833157499997,8.2679976725469,0.8609361336198879,7.144121440799474,1.123876231747425,31.277386064601277,17.462822331828388,-48.740208396429665,18.395671953450513,-18.479570139874273,6.356129211027618,46.09682874276082,-1.2394774307429737,1.0,0.0,-1.0,48.0,0.0,-48.0
0.126,20.01666649,8.330770620202735,0.8839335974455288,7.167118904625115,1.16365171557762,31.866118636817287,17.054260054876142,-48.92037869169343,18.307564059751503,-18.421629691846807,5.475506769606416,45.94591965670089,0.029597409125212693,1.0,0.0,-1.0,48.0,0.0,-48.0
