time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,electromagnetic_torque_Nm,phase_cmd_a,phase_cmd_b,phase_cmd_c
0.032,-5.128112592677982,0.0,5.128112592677982,94.19785393780928,34.70772640487833,-94.5286823118915,235.82710174745847,-4.103900357266797,1.0,0.0,-1.0
0.0322,-5.884439425439661,0.0,5.884439425439661,94.50887115369773,44.06413532791567,-94.30388783820514,235.43691632156606,-4.71912926994201,-1.0,0.0,1.0
0.0324,-4.449768596760453,0.0,4.449768596760453,94.86953378957962,53.491781068869955,-94.06071085385518,235.02817413889426,-3.577000385901825,1.0,0.0,-1.0
0.032600000000000004,-5.349974187854262,0.0,5.349974187854262,95.07684709899564,62.615559719385054,-93.83322709843887,234.62423429004596,-4.307585803487419,1.0,0.0,-1.0
0.0328,-4.952586101568123,0.0,4.952586101568123,94.84693134327728,71.02432419278135,-93.63561206972123,234.2328563576122,-3.9852480109376858,-1.0,0.0,1.0
0.033,-4.644573088838633,0.0,4.644573088838633,93.84152660961063,78.331660469261,-93.45254229711468,233.8204331807111,-3.7203805514762296,1.0,0.0,-1.0
0.0332,-5.479604743067185,0.0,5.479604743067185,91.76385470861122,84.27297977333444,-93.28912992597962,233.42302376838595,-4.344118227722907,1.0,0.0,-1.0
0.0334,-4.141728762022432,-0.8128374052255983,4.95456616724803,88.37020931440736,88.71560922862938,-93.13553703749997,233.0394452039531,-3.8601318468597374,0.0,-1.0,1.0
0.033600000000000005,0.0,-4.934564249680007,4.934564249680007,83.51119259586642,91.6581410026088,-92.96294572725981,232.60656266747995,-3.9165903311878028,0.0,-1.0,1.0
0.033800000000000004,0.0,-4.582650908972167,4.582650908972167,77.23499265316765,93.29407316285796,-92.80470712584552,232.1974797592115,-3.672846688659231,0.0,1.0,-1.0
0.034,0.0,-5.41997637497946,5.41997637497946,69.70591497970139,93.88687521383312,-92.6635361208212,231.79590148646847,-4.362022001651102,0.0,1.0,-1.0
0.0342,0.0,-4.924336411196436,4.924336411196436,61.22287640103265,93.75902172383556,-92.5485560666558,231.4038197388539,-3.9646760802431387,0.0,-1.0,1.0
