time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad,hall_a,hall_b,hall_c,hall_code,hall_decoded_sector,hall_transition_class,hall_legal_event,hall_direction,hall_enable,hall_fault
0.0136,3.2087009844006453,0.38788372144272876,-3.596584705843374,33.28640937699337,-33.00334803770846,18.75656864264469,82.46475654588261,0.3218961199403869,1.0,-1.0,0.0,48.0,-48.0,0.0,0.7557332895649875,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0138,2.349807184685436,0.8742680898368134,-3.2240752745222494,33.22803422079327,-33.01751458029031,17.59262164398319,82.47616540556034,-0.09101565619297192,1.0,-1.0,0.0,48.0,-48.0,0.0,0.7722280699070105,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.014,1.4899613065044106,1.3191267818238612,-2.809088088328272,33.15072427365532,-33.015763360618664,16.41569489905153,82.44706932378102,-0.4884565886194442,1.0,-1.0,0.0,48.0,-48.0,0.0,0.788721055736723,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0142,0.6301368461856294,1.7222526844164316,-2.352389530602061,33.05839535436243,-32.99827429801042,15.234162220034857,82.37893651003057,-0.8720279753485176,1.0,-1.0,0.0,48.0,-48.0,0.0,0.8052042955583698,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0144,-0.2287027797181711,2.0837201888030528,-1.8550174090848817,32.95436752754912,-32.96510811707992,14.055741739030234,82.27306951633834,-1.2434258620948393,1.0,-1.0,0.0,48.0,-48.0,0.0,0.8216701151099929,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0146,-1.0855898535094188,2.403841380457398,-1.318251526947979,32.841333350725506,-32.9162250166544,12.887354441726044,82.13060032234497,-1.6043518030882447,1.0,-1.0,0.0,48.0,-48.0,0.0,0.8381110835916024,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0148,-1.9395409591533739,2.6831211150082215,-0.7435801558548476,32.721353069010554,-32.85151039385113,11.735014330758514,81.95249369357343,-1.956437226894493,1.0,-1.0,0.0,48.0,-48.0,0.0,0.8545199797603855,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.015,-2.789549057873279,2.9222126458951956,-0.1326635880219163,32.59587393016968,-32.770805758612475,10.60375226571692,81.73955729752556,-2.3011842791594512,1.0,-1.0,0.0,48.0,-48.0,0.0,0.8708897594008571,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0152,-3.3782091199369098,3.3782091199369098,0.0,32.46479893904688,-32.672965109096594,9.497298689761735,81.4900186878162,-2.7003182979099867,1.0,-1.0,0.0,48.0,-33.60138177478659,-14.398618225213411,0.8872133955573623,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0154,-3.878050729273834,3.878050729273834,0.0,32.32669466653414,-32.5560384590883,8.41832154576591,81.19991415062714,-3.0987536519846963,1.0,-1.0,0.0,48.0,-32.532993442042994,-15.46700655795701,0.9034830529035787,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0156,-4.355116872006267,4.355116872006267,0.0,32.18194632700502,-32.42042005430819,7.369230857803767,80.87087380361424,-3.479013426787205,1.0,-1.0,0.0,48.0,-31.48846772145535,-16.51153227854465,0.9196907654689012,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0158,-4.809154318819945,4.809154318819945,0.0,32.03067146024997,-32.26670490265342,6.351412712436247,80.50472165000785,-3.8409673232429364,1.0,-1.0,0.0,48.0,-30.46942943363797,-17.53057056636203,0.9358289282746431,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
