t,targetRpm,actualRpm,feedbackRpm,duty,carrier,pwmOn,electricalStep,hallState,ahBase,bhBase,chBase,alBase,blBase,clBase,ahPwm,bhPwm,chPwm,alPwm,blPwm,clPwm
0.0135,0,89.4658421248609,0,0.12,0.75,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0136,0,90.0221775195488,0,0.12,0.800000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0137,0,90.5771220757499,0,0.12,0.850000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0138,0,91.1306792705605,0,0.12,0.9,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0139,0,91.6828525723841,0,0.12,0.95,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.014,0,92.2336454409532,0,0.12,0,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0141,0,92.7830613273508,0,0.12,0.0500000000000007,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0142,0,93.3311036740324,0,0.12,0.100000000000001,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0143,0,93.8777759148473,0,0.12,0.15,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0144,0,94.4230814750602,0,0.12,0.200000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0145,0,94.9670237713725,0,0.12,0.25,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0146,0,95.5096062119441,0,0.12,0.3,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0147,0,96.0508321964142,0,0.12,0.350000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0148,0,96.5907051159232,0,0.12,0.4,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0149,0,97.1292283531334,0,0.12,0.45,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.015,0,97.6664052822506,0,0.12,0.500000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0151,0,98.2022392690449,0,0.12,0.550000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0152,0,98.7367336708723,0,0.12,0.6,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0153,0,99.2698918366952,0,0.12,0.65,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0154,0,99.8017171071034,0,0.12,0.7,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0155,0,100.332212814336,0,0.12,0.75,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0156,0,100.8613822823,0,0.12,0.800000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0157,0,101.389228826594,0,0.12,0.850000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0158,0,101.915755754528,0,0.12,0.9,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0159,0,102.440966365141,0,0.12,0.95,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.016,0,102.964863949228,0,0.12,0,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0161,0,103.487451789355,0,0.12,0.0500000000000007,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0162,0,104.008733159882,0,0.12,0.0999999999999996,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0163,0,104.528711326982,0,0.12,0.15,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0164,0,105.047389548665,0,0.12,0.200000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0165,0,105.564771074793,0,0.12,0.25,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0166,0,106.080859147106,0,0.12,0.300000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0167,0,106.595656999238,0,0.12,0.35,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0168,0,107.10916785674,0,0.12,0.4,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0169,0,107.621394937098,0,0.12,0.450000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.017,0,108.132341449756,0,0.12,0.5,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0171,0,108.642010596131,0,0.12,0.550000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0172,0,109.150405569641,0,0.12,0.6,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0173,0,109.657529555717,0,0.12,0.65,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0174,0,110.163385731828,0,0.12,0.700000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0175,0,110.667977267498,0,0.12,0.75,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0176,0,111.171307324329,0,0.12,0.800000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0177,0,111.673379056018,0,0.12,0.85,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0178,0,112.174195608378,0,0.12,0.9,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0179,0,112.673760119357,0,0.12,0.949999999999999,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.018,0,113.172075719059,0,0.12,1.77635683940025e-15,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0181,0,113.669145529761,0,0.12,0.0500000000000007,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0182,0,114.164972665937,0,0.12,0.0999999999999996,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0183,0,114.659560234272,0,0.12,0.15,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0184,0,115.152911333686,0,0.12,0.199999999999999,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0185,0,115.645029055352,0,0.12,0.250000000000002,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0186,0,116.135916482714,0,0.12,0.300000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0187,0,116.625576691507,0,0.12,0.350000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0188,0,117.114012749778,0,0.12,0.4,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0189,0,117.601227717904,0,0.12,0.449999999999999,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.019,0,118.087224648609,0,0.12,0.5,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0191,0,118.572006586988,0,0.12,0.550000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0192,0,119.05557657052,0,0.12,0.600000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0193,0,119.537937629094,0,0.12,0.65,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0194,0,120.019092785021,0,0.12,0.700000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0195,0,120.499045053059,0,0.12,0.75,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0196,0,120.977797440426,0,0.12,0.799999999999999,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0197,0,121.455352946825,0,0.12,0.850000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
