time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,speed_rpm,electromagnetic_torque_Nm,phase_cmd_a,phase_cmd_b,phase_cmd_c
0.10200000000000001,5.134730549802238,-5.134730549802238,0.0,138.45627017476573,-132.49204256047412,-130.71848687483634,346.4388926676964,3308.2477348407874,4.015849860579852,1.0,-1.0,0.0
0.10250000000000001,4.3838194753410615,0.0,-4.3838194753410615,138.52765316504286,-97.69174889732419,-140.4557577812595,346.4526712995355,3308.3793110827614,3.530100967661723,1.0,0.0,-1.0
0.10300000000000001,5.944585994954661,0.0,-5.944585994954661,139.0049495059641,-47.229659640454976,-138.3498056542729,346.7381166234708,3311.1051131399677,4.755056090213587,1.0,0.0,-1.0
0.10350000000000001,5.570161926126849,0.0,-5.570161926126849,138.58243193605762,-2.5746185068199874,-138.44174345249044,346.95491021630534,3313.175339455784,4.447464119772701,1.0,0.0,-1.0
0.10400000000000001,5.175767132596689,0.0,-5.175767132596689,138.33632226586423,41.22673957630637,-139.20245332751526,347.1883908995916,3315.404915747473,4.137454219063381,1.0,0.0,-1.0
0.1045,4.652314071535669,0.0,-4.652314071535669,140.78129193676656,92.10293848957313,-138.95822760206806,347.44701917903376,3317.8746338932674,3.7457109466365535,1.0,0.0,-1.0
0.105,4.166983999437219,0.0,-4.166983999437219,133.70529559711514,130.35924602802945,-138.9741955422176,347.7348132691687,3320.6228650155235,3.2675792966197847,1.0,0.0,-1.0
0.1055,0.0,3.8309442153427042,-3.8309442153427042,99.55799001186256,140.93089381992937,-138.99508121445785,347.6404555608943,3319.721815274082,3.0847410812758786,0.0,1.0,-1.0
0.106,0.0,5.346204149962436,-5.346204149962436,48.834397469799576,138.8327217787128,-139.4282528920539,347.81041940075585,3321.344850389733,4.277157596717508,0.0,1.0,-1.0
0.1065,0.0,4.883478226342226,-4.883478226342226,3.663925287283007,138.85202259993773,-139.05155621378913,348.0562757889885,3323.69260595841,3.8991857655288733,0.0,1.0,-1.0
0.107,0.0,4.401349721289271,-4.401349721289271,-40.25832240819494,139.66075088225872,-138.7621877033429,348.3288945267036,3326.29592313962,3.5180449925331505,0.0,1.0,-1.0
0.1075,0.0,5.854717769266935,-5.854717769266935,-91.4410736388472,139.4304653391109,-141.22792503000346,348.6126004438459,3329.005115085477,4.713471811104518,0.0,1.0,-1.0
