time_s,speed_target_rad_s,load_torque_Nm,hall_invalid,effective_duty,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad,hall_speed_feedback_rad_s
0.28669,60.0,0.0,0,0.88,-4.57323585374481,8.7124300893187,-4.139194235573889,25.299325507549916,17.064199807272853,-24.958642727003635,62.41351495296242,2.1834940007850916,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4410941135109723,56.171920598784325
0.2867,60.0,0.0,0,0.88,-4.522988119534857,8.604566196917407,-4.08157807738255,25.3041425787236,17.098353847304555,-24.962805465777386,62.42436269993731,2.1555882190541595,0.0,0.0,-1.0,48.0,0.0,-48.0,2.441718303015512,56.171920598784325
0.28671,60.0,0.0,0,0.88,-4.5178308333727175,8.58686186282077,-4.069031029448053,25.308899566154803,17.132463714841325,-24.966933020731133,62.43511960449236,2.152057984241652,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4423426004295217,56.171920598784325
0.28672,60.0,0.0,0,0.88,-4.523910329203229,8.591609948566592,-4.067699619363363,25.313637025221244,17.1665566269019,-24.97106563109765,62.445886286681976,2.154609964782117,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4429670054483412,56.171920598784325
0.28673,60.0,0.0,0,0.88,-4.52995748897237,8.596272290370996,-4.066314801398626,25.31835590348695,17.200633112751238,-24.975204461736766,62.45666565480079,2.1571323417402777,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4435915181975387,56.171920598784325
0.28674,60.0,0.0,0,0.88,-4.535972339607024,8.600849014964625,-4.064876675357601,25.323055908817043,17.23469286405969,-24.979349455136784,62.46745756061935,2.1596250307006066,0.0,1.0,-1.0,0.0,48.0,-48.0,2.44421613880323,56.171920598784325
0.28675,60.0,0.0,0,0.88,-4.54195490760541,8.60534024935358,-4.06338534174817,25.327736748193725,17.268735571891956,-24.983500553517356,62.478261855488725,2.162087948243745,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4448408673900492,56.171920598784325
0.28676,60.0,0.0,0,0.88,-4.547905219035942,8.609746120819697,-4.0618409017837545,25.33239812772266,17.30276092671573,-24.98765769883163,62.489078390345355,2.1645210119514084,0.0,1.0,-1.0,0.0,48.0,-48.0,2.445465704081141,56.171920598784325
0.28677,60.0,0.0,0,0.88,-4.553823299536167,8.614066756920856,-4.060243457384689,25.337039752639484,17.33676861841059,-24.991820832768532,62.499907015716126,2.1669241404112616,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4460906489981586,56.171920598784325
0.28678,60.0,0.0,0,0.88,-4.55970917431165,8.618302285491238,-4.058593111179587,25.341661327316398,17.370758336276655,-24.995989896754992,62.510747581723294,2.169297253221744,0.0,1.0,-1.0,0.0,48.0,-48.0,2.446715702261255,56.171920598784325
0.28679,60.0,0.0,0,0.88,-4.565562868135052,8.622452834641683,-4.056889966506631,25.3462625552689,17.404729769044277,-25.000164831958326,62.52159993808985,2.17164027099692,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4473408639890923,56.171920598784325
0.2868,60.0,0.0,0,0.88,-4.515084815824132,8.513919427112034,-3.998834611287902,25.350811641708184,17.438660925231666,-25.004314512478384,62.53238624011364,2.142864133016629,0.0,0.0,-1.0,48.0,0.0,-48.0,2.4479661340398846,56.171920598784325
0.28681,60.0,0.0,0,0.88,-4.509697140715083,8.495546719866155,-3.9858495791510724,25.355296896668857,17.472543470276037,-25.008427644704394,62.54307823892386,2.1389086373646586,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4485915113663164,56.171920598784325
0.28682,60.0,0.0,0,0.88,-4.5155461725147745,8.499627579090392,-3.984081406575618,25.359759617593873,17.50640562840362,-25.012545197325398,62.55377838826686,2.1411461036496022,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4492169956401306,56.171920598784325
0.28683,60.0,0.0,0,0.88,-4.52136278953416,8.503623844640073,-3.982261055105913,25.36420076737859,17.54024795481679,-25.01666835548924,62.564489649936085,2.143353555418673,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4498425869711213,56.171920598784325
0.28684,60.0,0.0,0,0.88,-4.527147015059352,8.507535646880081,-3.980388631820728,25.3686200466201,17.57407013654349,-25.020797059853805,62.57521187367307,2.145530918446706,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4504682854696673,56.171920598784325
0.28685,60.0,0.0,0,0.88,-4.532898871938914,8.511363116450113,-3.9784642445111986,25.373017155107117,17.607871860109267,-25.02493125083119,62.58594490885066,2.1476781195487957,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4510940912446335,56.171920598784325
0.28686,60.0,0.0,0,0.88,-4.5386183825829995,8.515106384264907,-3.976488001681908,25.377391791827208,17.64165281154744,-25.029070868590264,62.59668860447842,2.1497950865848576,0.0,1.0,-1.0,0.0,48.0,-48.0,2.45172000440338,56.171920598784325
0.28687,60.0,0.0,0,0.88,-4.544305568962335,8.51876558151434,-3.9744600125520066,25.381743654974017,17.6754126764083,-25.033215853058984,62.607442809207875,2.151881748464068,0.0,1.0,-1.0,0.0,48.0,-48.0,2.452346025051754,56.171920598784325
0.28688,60.0,0.0,0,0.88,-4.549960452607239,8.522340839663519,-3.9723803870562793,25.386072441954486,17.70915113976878,-25.037366143926846,62.618207371337704,2.15393803514932,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4529721532940894,56.171920598784325
0.28689,60.0,0.0,0,0.88,-4.555583054606648,8.525832290452856,-3.9702492358462083,25.39037784939624,17.742867886241694,-25.04152168064732,62.628982138818984,2.1559638776615677,0.0,1.0,-1.0,0.0,48.0,-48.0,2.453598389233196,56.171920598784325
0.2869,60.0,0.0,0,0.88,-4.504873805735846,8.416640960851694,-3.9117671551158484,25.39462751583274,17.776540146567157,-25.045650785674642,62.6396878849204,2.1263183495410676,0.0,0.0,-1.0,48.0,0.0,-48.0,2.4542247327068383,56.171920598784325
0.28691,60.0,0.0,0,0.88,-4.499254824063829,8.397611514149178,-3.898356690085348,25.398809546408174,17.810159303192957,-25.049741967462108,62.65029586661135,2.1219358951309446,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4548511826311907,56.171920598784325
0.28692,60.0,0.0,0,0.88,-4.504872435009277,8.401036821179503,-3.896164386170225,25.402965972751495,17.84375459828937,-25.053836919899112,62.66091036036101,2.1238565576061017,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4554777386543236,56.171920598784325
0.28693,60.0,0.0,0,0.88,-4.510457513183173,8.404378725422903,-3.893921212239731,25.407097773658094,17.87732661443976,-25.057936848533195,62.671534381662504,2.1257469051676265,0.0,1.0,-1.0,0.0,48.0,-48.0,2.456104400870158,56.171920598784325
0.28694,60.0,0.0,0,0.88,-4.516010078166495,8.407637360861907,-3.8916272826954117,25.411204643299676,17.910875035191385,-25.062041692442133,62.68216777878167,2.127606874177272,0.0,1.0,-1.0,0.0,48.0,-48.0,2.456731169373207,56.171920598784325
0.28695,60.0,0.0,0,0.88,-4.521530149095129,8.410812861751424,-3.889282712656294,25.41528627512143,17.944399543700438,-25.06615139048271,62.69281039966901,2.129436402076682,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4573580442564773,56.171920598784325
0.28696,60.0,0.0,0,0.88,-4.527017744658788,8.413905362618587,-3.8868876179597995,25.41934236184984,17.977899822740778,-25.070265881293135,62.70346209196476,2.131235427391347,0.0,1.0,-1.0,0.0,48.0,-48.0,2.45798502561144,56.171920598784325
0.28697,60.0,0.0,0,0.88,-4.532472883100243,8.416914998262744,-3.884442115162501,25.423372595500584,18.011375554714945,-25.074385103295736,62.7141227030046,2.133003889734701,0.0,1.0,-1.0,0.0,48.0,-48.0,2.458612113528047,56.171920598784325
0.28698,60.0,0.0,0,0.88,-4.537895582214439,8.419841903755357,-3.881946321540918,25.427376667386483,18.044826421663934,-25.078508994699472,62.72479207982497,2.1347417298120486,0.0,1.0,-1.0,0.0,48.0,-48.0,2.459239308094721,56.171920598784325
0.28699,60.0,0.0,0,0.88,-4.543285859347637,8.422686214439905,-3.879400355092268,25.431354268125613,18.07825210527739,-25.082637493502517,62.73547006916857,2.136448889424483,0.0,0.0,-1.0,48.0,0.0,-48.0,2.4598666093983534,56.171920598784325
0.287,60.0,0.0,0,0.88,-4.492344141135437,8.312848961395398,-3.8205048202599614,25.43527247789704,18.11162905349335,-25.08673837447947,62.746076072327504,2.105936380853983,0.0,0.0,-1.0,48.0,0.0,-48.0,2.4604940172561935,56.171920598784325
0.28701,60.0,0.0,0,0.88,-4.486492540463933,8.293174814428802,-3.806682273964869,25.439119200777558,18.144948365087014,-25.0907999497923,62.75658085622284,2.1011264774089002,0.0,1.0,-1.0,0.0,48.0,-48.0,2.461121530547993,56.171920598784325
0.28702,60.0,0.0,0,0.88,-4.4918773783756585,8.295956648901813,-3.8040792705261546,25.442937193770444,18.178240309759786,-25.094864633908106,62.76709050810941,2.1027291981363128,0.0,1.0,-1.0,0.0,48.0,-48.0,2.461749148898137,56.171920598784325
0.28703,60.0,0.0,0,0.88,-4.497229525727084,8.298656311883924,-3.8014267861568403,25.446727452181342,18.21150549894391,-25.09893365288987,62.777608097368876,2.1043014176936348,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4623768723846142,56.171920598784325
0.28704,60.0,0.0,0,0.88,-4.502548998340686,8.301273940937644,-3.798724942596959,25.450489664671498,18.244743613931284,-25.103006944501555,62.78813347136318,2.105843083375572,0.0,1.0,-1.0,0.0,48.0,-48.0,2.463004701086035,56.171920598784325
0.28705,60.0,0.0,0,0.88,-4.507835811587103,8.30380967389319,-3.795973862306086,25.45422351926432,18.27795433573807,-25.10708444631214,62.79866647719349,2.1073541435911114,0.0,1.0,-1.0,0.0,48.0,-48.0,2.463632635079483,56.171920598784325
0.28706,60.0,0.0,0,0.88,-4.513089980384347,8.306263648848232,-3.7931736684638846,25.457928703353897,18.311137345115025,-25.111166095698415,62.80920696170577,2.108834547867054,0.0,1.0,-1.0,0.0,48.0,-48.0,2.464260674440506,56.171920598784325
0.28707,60.0,0.0,0,0.88,-4.51831151919714,8.308636004167685,-3.7903244849705446,25.461604903713635,18.34429232255893,-25.115251829847743,62.819754771496584,2.1102842468515615,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4648888192431326,56.171920598784325
0.28708,60.0,0.0,0,0.88,-4.523500442035983,8.310926878483336,-3.7874264364473533,25.465251806504792,18.37741894832199,-25.119341585760623,62.83030975291838,2.111703192317535,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4655170695598434,56.171920598784325
0.28709,60.0,0.0,0,0.88,-4.528656762456528,8.3131364106936,-3.7844796482370726,25.46886909728525,18.410516902423378,-25.123435300253586,62.84087175208535,2.113091337166067,0.0,1.0,-1.0,0.0,48.0,-48.0,2.466145425461585,56.171920598784325
0.2871,60.0,0.0,0,0.88,-4.477480903015234,8.20266563613709,-3.7251847331218553,25.472423307054317,18.44356184598539,-25.127500204687397,62.851358809112746,2.0817157285742764,0.0,0.0,-1.0,48.0,0.0,-48.0,2.4667738867451234,56.171920598784325
0.28711,60.0,0.0,0,0.88,-4.471394971219711,8.182359230721861,-3.7109642595021506,25.47590214300218,18.47654459383347,-25.13152441669285,62.86174120525765,2.0764791250473253,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4674024522539084,56.171920598784325
0.28712,60.0,0.0,0,0.88,-4.476545283807885,8.184510074488838,-3.707964790680952,25.479349077738938,18.509496451595385,-25.135551066330983,62.87212682567422,2.0777639500549574,0.0,1.0,-1.0,0.0,48.0,-48.0,2.46803112158871,56.171920598784325
0.28713,60.0,0.0,0,0.88,-4.481662707838121,8.186580018038182,-3.7049173102000608,25.482765123729788,18.542418061038905,-25.139581400299285,62.88251879380778,2.079018204834056,0.0,1.0,-1.0,0.0,48.0,-48.0,2.468659894811582,56.171920598784325
0.28714,60.0,0.0,0,0.88,-4.486747255332517,8.188569202452895,-3.7018219471203775,25.486149965110254,18.575309102481214,-25.143615355328414,62.89291695670301,2.080241847902286,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4692887719852363,56.171920598784325
0.28715,60.0,0.0,0,0.88,-4.491798937855908,8.190477769076974,-3.698678831221066,25.48950328547347,18.60816925608488,-25.147652867981602,62.90332116120001,2.081434838920387,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4699177531708556,56.171920598784325
0.28716,60.0,0.0,0,0.88,-4.496817766515203,8.192305859514969,-3.6954880929997653,25.49282476787937,18.64099820186885,-25.151693874657564,62.913731253940085,2.0825971386951547,0.0,1.0,-1.0,0.0,48.0,-48.0,2.470546838428089,56.171920598784325
0.28717,60.0,0.0,0,0.88,-4.501803751958713,8.194053615631507,-3.6922498636727945,25.49611409486383,18.673795619719407,-25.155738311593254,62.92414708137137,2.083728709182391,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4711760278150474,56.171920598784325
0.28718,60.0,0.0,0,0.88,-4.50675690437563,8.195721179550858,-3.6889642751752287,25.49937094844808,18.70656118940197,-25.159786114866915,62.93456848975484,2.0848295134897965,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4718053213883167,56.171920598784325
0.28719,60.0,0.0,0,0.88,-4.511677233495243,8.197308693656378,-3.6856314601611344,25.50259501014786,18.739294590571294,-25.163837220400687,62.9449953251697,2.085899515879788,0.0,1.0,-1.0,0.0,48.0,-48.0,2.472434719202934,56.171920598784325
0.2872,60.0,0.0,0,0.88,-4.460265157722638,8.086217197383183,-3.625952039660545,25.50575227181906,18.771970694546063,-25.167858320698915,62.95534427807752,2.053666178366993,0.0,0.0,-1.0,48.0,0.0,-48.0,2.4730642210352567,56.171920598784325
0.28721,60.0,0.0,0,0.88,-4.45394277929745,8.065291372883154,-3.6113485935857037,25.508830248305866,18.804580032336148,-25.17183734073393,62.965585148720244,2.0480048884890545,0.0,1.0,-1.0,0.0,48.0,-48.0,2.473693825692661,56.171920598784325
0.28722,60.0,0.0,0,0.88,-4.458856410589397,8.066824104709255,-3.607967694119858,25.51187311708071,18.83715495265689,-25.175818120822335,62.97582760633719,2.0489730742653527,0.0,1.0,-1.0,0.0,48.0,-48.0,2.474323532752399,56.171920598784325
0.28723,60.0,0.0,0,0.88,-4.4637369148290755,8.068277246914267,-3.604540332085191,25.51488190845321,18.86969612911073,-25.179801928417294,62.98607482859675,2.049910740408593,0.0,1.0,-1.0,0.0,48.0,-48.0,2.474953342260667,56.171920598784325
0.28724,60.0,0.0,0,0.88,-4.468584300209004,8.069650944020173,-3.6010666438111696,25.51785630308498,18.902203242370632,-25.183788699509705,62.99632666282514,2.050817856888382,0.0,1.0,-1.0,0.0,48.0,-48.0,2.475583254264345,56.171920598784325
0.28725,60.0,0.0,0,0.88,-4.473398574460316,8.070945340801122,-3.5975467663408063,25.52079598119706,18.93467597308074,-25.187778369951882,63.006582956201385,2.0516943948400774,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4762132688087886,56.171920598784325
0.28726,60.0,0.0,0,0.88,-4.478179744852206,8.072160582282768,-3.5939808374305624,25.523700622579707,18.967114001867657,-25.191770875460435,63.01684355576312,2.0525403265671613,0.0,1.0,-1.0,0.0,48.0,-48.0,2.476843385937824,56.171920598784325
0.28727,60.0,0.0,0,0.88,-4.482927818191422,8.073296813741626,-3.5903689955502043,25.526569906602255,18.999517009352036,-25.195766151619313,63.02710830841242,2.053355625543588,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4774736056937487,56.171920598784325
0.28728,60.0,0.0,0,0.88,-4.487642800821735,8.074354180704379,-3.5867113798826433,25.529403512222885,19.031884676159805,-25.199764133882674,63.03737706092162,2.0541402664160393,0.0,1.0,-1.0,0.0,48.0,-48.0,2.478103928117323,56.171920598784325
0.28729,60.0,0.0,0,0.88,-4.492324698623564,8.07533282894721,-3.583008130323646,25.532201117998735,19.064216682934642,-25.203764757578025,63.04764965993935,2.0548942250061755,0.0,1.0,-1.0,0.0,48.0,-48.0,2.478734353247787,56.171920598784325
0.2873,60.0,0.0,0,0.88,-4.440673925839759,7.963633801911518,-3.5229598760717598,25.53492818754832,19.096487109244478,-25.20773418119358,63.05784145849561,2.021810033114628,0.0,0.0,-1.0,48.0,0.0,-48.0,2.47936488084123,56.171920598784325
0.28731,60.0,0.0,0,0.88,-4.4341125794709715,7.942101787918432,-3.507989208447461,25.537572048269475,19.128686202825364,-25.211660139023344,63.06792178071743,2.015727354396817,0.0,1.0,-1.0,0.0,48.0,-48.0,2.479995509669238,56.171920598784325
0.28732,60.0,0.0,0,0.88,-4.438786967518477,7.943029675940928,-3.504242708422451,25.540177570757113,19.16084736137604,-25.215587175955182,63.078002065214335,2.016381388028659,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4806262392857437,56.171920598784325
0.28733,60.0,0.0,0,0.88,-4.4434279493680755,7.943879323382818,-3.500451374014743,25.54274580388153,19.19297129183445,-25.219516580319546,63.08808554401833,2.0170050740831935,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4812570697211886,56.171920598784325
0.28734,60.0,0.0,0,0.88,-4.448035529367219,7.944650878101386,-3.4966153487341667,25.545276425945474,19.225057676603218,-25.223448287672603,63.09817206534508,2.0175983941452635,0.0,1.0,-1.0,0.0,48.0,-48.0,2.481888001006764,56.171920598784325
0.28735,60.0,0.0,0,0.88,-4.452609711399127,7.945344488195085,-3.4927347767959582,25.547769114918918,19.257106198184932,-25.227382233461725,63.108261477321015,2.018161330981547,0.0,1.0,-1.0,0.0,48.0,-48.0,2.482519033172132,56.171920598784325
0.28736,60.0,0.0,0,0.88,-4.457150498882488,7.945960302002715,-3.488809803120227,25.55022354844944,19.2891165391947,-25.231318353028513,63.118353627989386,2.0186938685423144,0.0,1.0,-1.0,0.0,48.0,-48.0,2.4831501662454403,56.171920598784325
0.28737,60.0,0.0,0,0.88,-4.46165789477107,7.946498468102559,-3.4848405733314896,25.552639403872654,19.32108838237176,-25.23525658161189,63.12844836531616,2.0191959919631044,0.0,1.0,-1.0,0.0,48.0,-48.0,2.483781400253316,56.171920598784325
0.28738,60.0,0.0,0,0.88,-4.466131901553361,7.946959135311516,-3.480827233758156,25.55501635822259,19.353021410591293,-25.23919685435119,63.138545537195945,2.0196676875663417,0.0,1.0,-1.0,0.0,48.0,-48.0,2.484412735220864,56.171920598784325
