time_s,command_frequency_Hz,command_electrical_angle_rad,mechanical_angle_raw_rad,rotor_angle_unwrapped_rad,phase_error_rad,phase_error_unwrapped_rad,load_torque_Nm,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V
0.118,9.819999999999999,3.3312191861604723,-1.5595785207359079,4.723606786443678,-1.392387600283206,-1.392387600283206,0.0,-0.5154373401959127,24.86987498985813,-24.354437649662216,-9.3879183106469,8.826252000017305,9.015395717305285,23.49001590887021,0.2035662575895909,-1.0,1.0,0.0,-48.0,0.0,48.0
0.1185,9.864999999999998,3.36214031185343,-1.5477697163151622,4.735415590864424,-1.3732752790109939,-1.3732752790109939,0.0,-3.839176205917493,24.931434525525315,-21.092258319607822,-9.529982402124501,8.844596317010991,9.238972043131314,23.84547701540577,2.609508322343423,-1.0,1.0,0.0,-48.0,0.0,48.0
0.119,9.909999999999998,3.393202809215799,-1.5356368337517632,4.747548473427823,-1.3543456642120244,-1.3543456642120244,0.0,-6.888087379992417,24.979722357168257,-18.09163497717584,-9.90263939087029,9.056791132265284,9.683195128944874,24.77789718435368,4.81322288064829,-1.0,1.0,0.0,-48.0,0.0,48.0
0.1195,9.955,3.4244066782475797,-1.522904746458351,4.7602805607212355,-1.3358738824736558,-1.3358738824736558,0.0,-9.633268294496288,24.99521524775292,-15.361946953256632,-10.484016687675869,9.427753109255192,10.332539096697403,26.23251338798845,6.782276013643941,-1.0,1.0,0.0,-48.0,0.0,48.0
0.12,10.0,3.455751918948772,-1.5093275856448725,4.773857721534714,-1.3181058025859422,-1.3181058025859422,0.0,-12.053549309495185,24.96424153043645,-12.910692220941264,-11.249376893320775,9.917370206513814,11.166194959048445,28.14735712666052,8.491427340622923,-1.0,1.0,0.0,-48.0,0.0,48.0
0.1205,10.0,3.48716784548467,-1.494691896745427,4.788493410434159,-1.3013255649494893,-1.3013255649494893,0.0,-14.135820482391994,24.879005351920608,-10.743184869528614,-12.171841330992589,10.48091426132177,12.158748204401784,30.455034150838,9.92249769797954,-1.0,1.0,0.0,-48.0,0.0,48.0
0.121,10.0,3.518583772020568,-1.4788189121626982,4.8043663950168884,-1.2857826229963205,-1.2857826229963205,0.0,-15.875188031127985,24.737544355210897,-8.862356324082912,-13.223111727967854,11.06972326929961,13.280821865003134,33.084483544896884,11.064334109106749,-1.0,1.0,0.0,-48.0,0.0,48.0
0.1215,10.0,3.5499996985564657,-1.4615659450376126,4.821619362141973,-1.2716196635855077,-1.2716196635855077,0.0,-17.27494743375244,24.543587605215674,-7.268640171463233,-14.374198317807197,11.63233324182448,14.499876150672955,35.96273728440506,11.912839800211497,-1.0,1.0,0.0,-48.0,0.0,48.0
0.122,10.0,3.581415625092364,-1.4428269010902621,4.840358406089324,-1.2589427809969602,-1.2589427809969602,0.0,-18.34634014125459,24.30627331281048,-5.95993317155589,-15.59615355797002,12.116221566660908,15.781336134613369,39.01668793897491,12.470992489892335,-1.0,1.0,0.0,-48.0,0.0,48.0
0.1225,10.0,3.6128315516282616,-1.4225319075389478,4.860653399640638,-1.2478218480123764,-1.2478218480123764,0.0,-19.10804847369024,24.03968169352075,-4.931633219830511,-16.86079411987042,12.470260788500774,17.090146034910894,42.17484705337768,12.748727665571097,-1.0,1.0,0.0,-48.0,0.0,48.0
0.123,10.0,3.64424747816416,-1.400646075295749,4.882539231883837,-1.2382917537196771,-1.2382917537196771,0.0,-19.585385096151423,23.762140357209802,-4.176755261058379,-18.1413712703918,12.647854876817657,18.392718132168124,45.36904168314461,12.76253457420643,-1.0,1.0,0.0,-48.0,0.0,48.0
0.1235,10.0,3.6756634047000576,-1.3771674464318802,4.906017860747706,-1.2303544560476487,-1.2303544560476487,0.0,-19.809155611071315,23.495272457102722,-3.686116846031408,-19.41312732753169,12.610537601716924,19.659075093136387,48.53595891786459,12.53462469058918,-1.0,1.0,0.0,-48.0,0.0,48.0
0.124,10.0,3.707079331235956,-1.3521242316206161,4.93106107555897,-1.2239817443230145,-1.2239817443230145,0.0,-19.814217385455002,23.262785587331262,-3.4485682018762605,-20.653664664005156,12.331582437472072,20.8648226988956,51.61842060026348,12.09160195718809,-1.0,1.0,0.0,-48.0,0.0,48.0
0.1245,10.0,3.7384952577718535,-1.3255715032467597,4.957613803932826,-1.2191185461609728,-1.2191185461609728,0.0,-19.637819494338267,23.089043372351057,-3.45122387801279,-21.843067172547475,11.79896750077145,21.992500704092773,54.566267250509384,11.462686943066435,-1.0,1.0,0.0,-48.0,0.0,48.0
0.125,10.0,3.7699111843077517,-1.2975875641113352,4.985597743068251,-1.215686558760499,-1.215686558760499,0.0,-19.317873371340003,22.99751745125703,-3.679644079917026,-22.963761393354403,11.016942827980875,23.031902476200585,57.33676122663566,10.6776900714143,-1.0,1.0,0.0,-48.0,0.0,48.0
0.1255,10.0,3.8013271108436495,-1.2682702418797618,5.0149150652998244,-1.213587954456175,-1.213587954456175,0.0,-18.891350378583176,23.009273538139286,-4.117923159556108,-24.00018207440968,10.005541774698408,23.979151835583483,59.894482716711686,9.765036195150708,-1.0,1.0,0.0,-48.0,0.0,48.0
0.126,10.0,3.8327430373795477,-1.237733352821405,5.045451954358182,-1.212708916978634,-1.212708916978634,0.0,-18.39300963823602,23.14168378950956,-4.748674151273541,-24.93839251254114,8.797703348454533,24.834640716122337,62.21077205922193,8.750158989605684,-1.0,1.0,0.0,-48.0,0.0,48.0
0.1265,10.0,3.8641589639154454,-1.2061035331861798,5.077081773993406,-1.2129228100779605,-1.2129228100779605,0.0,-17.8546142138834,23.40755960740461,-5.552945393521208,-25.765864856479403,7.4341965198622395,25.6002683384587,64.26284165507703,7.654486951706689,-1.0,1.0,0.0,-48.0,0.0,48.0
0.127,10.0,3.8955748904513436,-1.1735175645028861,5.1096677426767005,-1.214092852225357,-1.214092852225357,0.0,-17.304699292943795,23.814850486915322,-6.510151193971528,-26.47160785130043,5.9571493087998135,26.276659392422797,66.03271500334698,6.495065487552333,-1.0,1.0,0.0,-48.0,0.0,48.0
0.1275,10.0,3.9269908169872414,-1.1401202414897496,5.143065065689837,-1.2160742487025953,-1.2160742487025953,0.0,-16.76883406329555,24.36695467556925,-7.598120612273701,-27.04671620069473,4.403511163896432,26.861075880418348,67.50613817349863,5.284680300312626,-1.0,1.0,0.0,-48.0,0.0,48.0
