time_s,command_step,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V
0.0247,0,3.5769800261579627,-9.451010297003775,5.874030270845812,-0.04715952152099279,-0.9201049528813179,0.9226256035199174,2.307897455734745,6.043060278332437,1.0,-1.0,0.0,48.0,0.0,-48.0
0.0248,0,4.648739752571645,-9.848596375120637,5.199856622548992,-0.05282350469802583,-1.039262709314497,1.0420872882683692,2.6067525730235674,5.910964037103507,1.0,-1.0,0.0,48.0,0.0,-48.0
0.0249,0,5.706088796729846,-10.236727484697724,4.530638687967878,-0.05819357219350707,-1.155781023211883,1.1588942083602667,2.8989770930533867,5.777861664400724,1.0,-1.0,0.0,48.0,0.0,-48.0
0.025,1,6.749215501662883,-10.615621231076243,3.86640572941336,-0.0632561879794189,-1.2696416669060684,1.2730274212968389,3.18452446375447,5.643902601643966,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0251,1,7.218753446242387,-9.866469975523428,2.6477165292810416,-0.06767655292408645,-1.3742477940314894,1.3778721486652816,3.4468479996533268,4.850416703617045,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0252,1,7.682014606254265,-9.12414538404825,1.442130777793985,-0.07114945931199658,-1.4631238419654125,1.4669364176520443,3.669706714043534,4.0653651048375545,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0253,1,8.139061902428006,-8.389091702045459,0.2500297996174534,-0.07371155428321234,-1.5364405074635403,1.540392788644304,3.853530502841283,3.289072578910527,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0254,1,8.589958342909277,-7.66174150344157,-0.9282168394677074,-0.0754047136976069,-1.5943746865271133,1.5984202952182458,3.9987651327248677,2.521849218195958,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0255,1,9.034767133116482,-6.94251568811303,-2.0922514450034524,-0.07627487462182411,-1.6371092119686161,1.6412041243116466,4.105871512442936,1.7639906495721431,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0256,1,9.473551756705586,-6.2318234757434245,-3.2417282809621604,-0.0763709092189285,-1.6648325946510456,1.668935301520402,4.175324975046422,1.0157782555009593,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0257,1,9.90637602904119,-5.530062396515612,-4.376313632525579,-0.0757435419983852,-1.6777387684765106,1.6818103816429555,4.207614571291732,0.2774793997006584,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0258,1,10.333304124595873,-4.8376182790468665,-5.495685845549007,-0.07444431208643691,-1.676026839170748,1.680031144594539,4.203242374428962,-0.4506523432346614,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0259,1,10.754400579716403,-4.1548652359859854,-6.599535343730419,-0.07252458189732115,-1.6599008368846788,1.6638042968094628,4.162722796556695,-1.1683769548891674,1.0,0.0,-1.0,0.0,48.0,-48.0
0.026,2,11.169730272206928,-3.4821656476977703,-7.687564624509158,-0.07003459332477294,-1.6295694726128511,1.633341178244797,4.086581916695135,-1.875467737330701,0.0,1.0,-1.0,-48.0,48.0,0.0
0.0261,2,10.460259835348104,-2.260318584276202,-8.199941251071902,-0.06703075716116642,-1.585440549789486,1.5890525676018294,3.97584494943124,-2.5523369814920223,0.0,1.0,-1.0,-48.0,48.0,0.0
0.0262,2,9.760338735814345,-1.0567937647206027,-8.703544971093743,-0.06356543803874493,-1.527914172270789,1.5313413411341579,3.8315175702595643,-3.2190452058099677,0.0,1.0,-1.0,-48.0,48.0,0.0
0.0263,2,9.06982683376417,0.12819731733578257,-9.198024151099952,-0.05967872124044811,-1.45719443181505,1.4604137150411756,3.654113659758641,-3.8753596697888057,0.0,1.0,-1.0,-48.0,48.0,0.0
0.0264,2,8.38858680171204,1.294452838340262,-9.683039640052304,-0.05540652605034854,-1.3734901439264242,1.3764804171378033,3.4441586663154835,-4.521050456700233,0.0,1.0,-1.0,-48.0,48.0,0.0
0.0265,2,7.716483978724511,2.441780727891361,-10.158264706615872,-0.05077994344540047,-1.2770148065859221,1.2797566089329586,3.2021894567534717,-5.155890799263082,0.0,1.0,-1.0,-48.0,48.0,0.0
0.0266,2,7.053386211264391,3.5699987561505657,-10.623384967414957,-0.0458246188185701,-1.1679865514398151,1.1704618024518705,2.928754150926602,-5.7796573953116726,0.0,1.0,-1.0,-48.0,48.0,0.0
0.0267,2,6.399163681947466,4.678934624774306,-11.078098306721772,-0.040560180228619874,-1.0466280875753273,1.048819772064928,2.624411940780376,-6.392130713461953,0.0,1.0,-1.0,-48.0,48.0,0.0
0.0268,2,5.753688727471089,5.768426060557073,-11.522114788028162,-0.034999712583594536,-0.9131666380179762,0.9150584615819888,2.289732894379509,-6.993095288773594,0.0,1.0,-1.0,-48.0,48.0,0.0
0.0269,2,5.116835646966445,6.838320910990237,-11.955156557956682,-0.02914927807450194,-0.7678338690898561,0.7694098868670808,1.9252977454028142,-7.582340008391828,0.0,1.0,-1.0,-48.0,48.0,0.0
0.027,3,4.488480502017629,7.888477240953795,-12.376957742971424,-0.023007483081742303,-0.6108658127734868,0.6121100342249968,1.5316976686073283,-8.159658387133668,-1.0,1.0,0.0,-48.0,0.0,48.0
0.0271,3,3.3089536404314845,8.359292615984051,-11.668246256415536,-0.01681855598931921,-0.4492853426330367,0.45019502523434834,1.1265406440464474,-8.046177414868065,-1.0,1.0,0.0,-48.0,0.0,48.0
0.0272,3,2.1452858896175506,8.818175846864863,-10.963461736482413,-0.010809123254818755,-0.28999196300238744,0.290576675008722,0.7271244553273345,-7.930024907368739,-1.0,1.0,0.0,-48.0,0.0,48.0
0.0273,3,0.9972659602283507,9.265367975187948,-10.262633935416298,-0.00494672353985852,-0.13303983725083937,0.1333074445093941,0.3335826470246379,-7.811202931555328,-1.0,1.0,0.0,-48.0,0.0,48.0
0.0274,3,-0.13531532796842782,9.70110901393737,-9.565793685968941,0.0007995327396507848,0.02151699890170249,-0.021560252678771905,-0.05395145589876456,-7.6897181919291,-1.0,1.0,0.0,-48.0,0.0,48.0
0.0275,3,-1.2526650368286631,10.125637937832249,-8.872972901003585,0.006458939383541446,0.1736247305359257,-0.1739741408567226,-0.4353449779999221,-7.565581951464206,-1.0,1.0,0.0,-48.0,0.0,48.0
0.0276,3,-2.3549881001269295,10.53919267033246,-8.18420457020553,0.012059172198248879,0.32322985496282136,-0.3238821712404736,-0.8104657192674284,-7.438809950846988,-1.0,1.0,0.0,-48.0,0.0,48.0
0.0277,3,-3.4424873134626814,10.942010067433294,-7.499522753970613,0.017626268833234288,0.4702792714010647,-0.47123260947593726,-1.1791823769522514,-7.309422325992163,-1.0,1.0,0.0,-48.0,0.0,48.0
