time_s,command_step,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V
0.0335,0,20.285070472190686,-5.806662707881794,-14.47840776430889,5.220736805824625,-33.413845057014875,33.18903482571115,83.40532120958282,-2.165310736161084,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0336,0,20.439115876344886,-5.617968595918264,-14.82114728042662,5.722495179429619,-33.37628303362133,33.14202987750111,83.29511873581858,-2.241827094015452,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0337,0,20.57924367907598,-5.427418387213463,-15.151825291862517,6.227292686061385,-33.33629760262,33.095400080724886,83.18123267034166,-2.3126936881588454,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0338,0,20.70560364558056,-5.235050606336927,-15.470553039243635,6.735252204950134,-33.293999535259154,33.04936734059794,83.06393949632094,-2.3781529805934176,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0339,0,20.818342334402146,-5.040896977158211,-15.777445357243934,7.246449439764116,-33.24950530004818,33.004132919793676,82.94350323248337,-2.4384611201361235,1.0,-1.0,0.0,48.0,-48.0,0.0
0.034,0,20.917603947033125,-4.8449832066952085,-16.072620740337918,7.760911425376144,-33.20293593092677,32.95987547110355,82.82017474622224,-2.493887996087518,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0341,0,21.003531186901263,-4.647329822645678,-16.356201364255586,8.278615470647106,-33.15441583616982,32.91674917384781,82.69419107126058,-2.544717002828925,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0342,0,21.076266119474575,-4.447953058664875,-16.6283130608097,8.799488524684351,-33.104071569835035,32.874881993159875,82.56577474421817,-2.591244520231446,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0343,0,21.13595102561678,-4.246865780978329,-16.88908524463845,9.323406951681823,-33.05203058676017,32.8343740799506,82.43513317409179,-2.6337791184095103,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0344,0,21.182729240763045,-4.044078449512555,-17.13865079125049,9.850196697590503,-32.998420001084455,32.795296327969005,82.3024580581475,-2.6726404987511474,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0345,0,21.216745972950857,-3.8396001063890317,-17.377145866561825,10.379633830472745,-32.94336536703675,32.75768910293914,82.16792485704703,-2.708158186286454,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0346,0,21.238149093226827,-3.6334393843535038,-17.604709708873322,10.91144543543361,-32.88698949933878,32.72156115728937,82.03169234120472,-2.7406699913007886,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0347,0,21.247089892445906,-3.4256055275046062,-17.8214843649413,11.445310844442723,-32.829411349048364,32.68688874251831,81.89390221941129,-2.770520260648948,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0348,0,21.2437237989802,-3.216109416538652,-18.02761438244155,11.980863181110996,-32.77074494904988,32.65361492977164,81.75467885968054,-2.798057941475891,1.0,-1.0,0.0,48.0,-48.0,0.0
0.0349,0,21.22821105235286,-3.0049645906386258,-18.223246461714236,12.517691200507128,-32.71109844171466,32.62164914774266,81.61412911109022,-2.8236344819953176,1.0,-1.0,0.0,48.0,-48.0,0.0
0.035,1,21.20071732830405,-2.7921882581044764,-18.408529070199574,13.055341404319838,-32.65057319953324,32.590866945556854,81.47234223411266,-2.8476015956190848,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0351,1,21.161458314565525,-0.8993343819815675,-20.262123932583957,13.587612051154272,-32.575764281761366,32.54761841721888,81.29570114399637,-4.214905368985079,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0352,1,21.403170272560132,0.3866006046494898,-21.789770877209623,14.108043371393142,-32.47560500697,32.480493017062116,81.05640401547613,-5.161106515188838,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0353,1,21.89718395961636,1.1232962112863056,-23.020480170902665,14.619862120018142,-32.3621293810565,32.401134705690396,80.78430267814089,-5.7202712742950474,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0354,1,22.373067450349833,1.8521473392353733,-24.225214789585205,15.122602889703192,-32.23750537033527,32.31133149650573,80.48464186537178,-6.263537108143655,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0355,1,22.831298273927985,2.5727703047954305,-25.404068578723415,15.61507277563114,-32.10211104029007,32.21106592521172,80.15820886920363,-6.791208403150595,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0356,1,23.272370401836156,3.28478117201299,-26.557151573849147,16.096097259431662,-31.956314009917122,32.100296997605675,79.80577606418133,-7.3035767937833524,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0357,1,23.696793372279345,3.9877955213210834,-27.684588893600427,16.56452850761117,-31.800471161142365,31.978964347706356,79.42810164412722,-7.800917250971207,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0358,1,24.105091287182375,4.68142836324114,-28.786519650423514,17.019253494269538,-31.63492856976562,31.846992692258716,79.02593054561393,-8.283484537031814,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0359,1,24.497801689413755,5.365294200563892,-29.863095889977647,17.45920183969257,-31.46002164621701,31.70429650945011,78.59999553816361,-8.751510091572833,1.0,0.0,-1.0,48.0,0.0,-48.0
0.036,1,24.87547432948933,6.039007239977783,-30.91448156946711,17.88335326467034,-31.276075470227855,31.550784866533814,78.15101845823135,-9.20519940230173,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0361,1,25.23866983243133,6.702181751686521,-31.94085158411785,18.290744569816255,-31.083405300013418,31.38636631937816,77.67971156161663,-9.644729903159265,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0362,1,25.587958276650994,7.3544325731902,-32.942390849841196,18.68047605951698,-30.882317233778174,31.210953806745273,77.18677896712872,-10.070249430021647,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0363,1,25.92391769768645,7.995375751149204,-33.91929344883565,19.051717341212427,-30.6731089993002,31.02446946331835,76.67291816313164,-10.481875251741366,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0364,1,26.247132530352665,8.624629313136262,-34.871761843488926,19.403712442270617,-30.456070846022815,30.82684927808449,76.13882154801729,-10.879693681842852,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0365,1,26.558192003352747,9.241814159150355,-35.8000061625031,19.73578419858668,-30.231486513456066,30.618047528559803,75.58517797569462,-11.26376026407512,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0366,1,26.857688500663553,9.846555061046939,-36.70424356171049,20.047337881007536,-29.999634249725275,30.39804092640793,75.01267427781232,-11.63410051353669,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0367,1,27.146215904049498,10.438481756551582,-37.58469766060108,20.337864037582264,-29.76078785474703,30.16683241612924,74.42199673561792,-11.990711184481295,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0368,1,27.42436793089221,11.017230123297836,-38.441598054190045,20.60694054129609,-29.51521772369598,29.924454575536007,73.81383247604064,-12.333562026410185,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0369,1,27.692736481160964,11.582443417369808,-39.27517989853077,20.85423384420366,-29.263191868079836,29.67097257452386,73.18887076871884,-12.66259798183044,1.0,0.0,-1.0,48.0,0.0,-48.0
0.037,1,27.95191000680743,12.133773560150379,-40.08568356695781,21.07949944958741,-29.004976893782274,29.406486657024264,72.54780420319847,-12.977741772246041,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0371,1,28.202471916168275,12.670882456879252,-40.873354373047526,21.282581623797928,-28.740838917785638,29.131134119798045,71.89132972834105,-13.278896813638795,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0372,1,28.44499902511607,13.19344333020406,-41.63844235532013,21.46341237865801,-28.471044407863765,28.845090770717828,71.22014953901746,-13.56595039893148,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0373,1,28.680060065739816,13.701142052162192,-42.381202117902006,21.622009763631635,-28.19586093225802,28.548571858200415,70.53497179834837,-13.838777082712422,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0374,1,28.908214262277603,14.193678458438841,-43.10189272071644,21.758475514277844,-27.915557809144232,28.241832472309355,69.83651118701702,-14.097242202795464,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0375,1,29.1300099828914,14.670767629399029,-43.80077761229043,21.8729921097588,-27.630406648485454,27.92516742657125,69.12548927443306,-14.341205473921152,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0376,1,29.345983474688058,15.132141123258986,-44.478124597947044,21.96581929729977,-27.34068178158734,27.5989106375825,68.40263470971897,-14.570524590962027,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0377,1,29.556657688173775,15.577548147824597,-45.13420583599837,22.03729014547365,-27.046660576266188,27.263434026875323,67.66868323354454,-14.785058782245091,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0378,1,29.762541196102912,16.006756658453217,-45.76929785455613,22.08780669099702,-26.748623637957273,26.919145976136704,66.92437751469942,-14.984672257889681,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0379,1,29.964127210463946,16.419554371256726,-46.38368158172067,22.117835245389475,-26.446854899293772,26.56648937263346,66.1704668179269,-15.169237503206148,1.0,0.0,-1.0,48.0,0.0,-48.0
0.038,1,30.161892700158095,16.815749682033225,-46.97764238219132,22.12790142839764,-26.14164160263991,26.205939286504304,65.4077065118925,-15.338638373030498,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0381,1,30.35629761078059,17.195172482954117,-47.55147009373471,22.118584994574174,-25.833274181748404,25.838000325390475,64.63685742821387,-15.492772949193094,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0382,1,30.547784186831144,17.557674870616125,-48.10545905744727,22.09051451790234,-25.522046050116142,25.46320371465862,63.8586850842028,-15.631556129955065,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0383,1,30.736776395667963,17.903131740662214,-48.63990813633018,22.04436199695686,-25.20825330472816,25.082104153224325,63.07395878335758,-15.754921927015705,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0384,1,30.923679451589027,18.23144126575112,-49.15512071734015,21.98083743989546,-24.892194354716434,24.695276495738053,62.28345060869855,-15.862825452432034,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0385,1,31.1088794375855,18.542525255189986,-49.651404692775486,21.900683484693058,-24.57416948501896,24.303312311688426,61.48793432475346,-15.955244584348549,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0386,1,31.2927430215686,18.836329396009564,-50.129072417578165,21.80467010558396,-24.254480365430773,23.9068163708853,60.68818420440075,-16.032181306678165,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0387,1,31.47561726322693,19.112823376641003,-50.58844063986793,21.69358945178823,-23.933429515503448,23.506403102881,59.88497379687071,-16.09366272369155,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0388,1,31.657829507128692,19.372000895626517,-51.02983040275521,21.568250859391586,-23.611319735606084,23.102693075278236,59.07907465302474,-16.139741755772768,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0389,1,31.83968735723931,19.6138795589503,-51.45356691618961,21.429476071843425,-23.28845351412818,22.696309532656795,58.27125502359836,-16.17049752731255,1.0,0.0,-1.0,48.0,0.0,-48.0
0.039,1,32.021478727679856,19.838500670602293,-51.85997939828215,21.27809469905094,-22.9651324203158,22.287875034144214,57.46227854543941,-16.186035461792738,1.0,0.0,-1.0,48.0,0.0,-48.0
0.0391,1,32.203471964299126,20.04592892187532,-52.24940088617445,21.1149399395856,-22.64165649161508,21.878008223573886,56.65290292993451,-16.186487102536923,1.0,0.0,-1.0,48.0,0.0,-48.0
